abduction	n	အဓ​မ္မ သွေး​ဆောင်​ခြင်း။ လူ​ခိုး​မှု။
abductions	n[pl]	သွေး​ဆောင်​ဆွ​ခေါ်​ခြင်း​များ
abducts	v[sg]	အဓ​မ္မခေါ်​ဆောင်
abeam	adv	သင်္ဘော ၊​လှေ အကန့်​များ​ပေါ်​တွင်။​သင်္ဘော၊​လေ​ယာဉ် နှင့်​ထောင့်​မှန်​ကျ​သော ဘေး​တိုက်​တန်း​တန်း​အရပ်​တွင်။
abed	adv	အိပ်​ရာ​ထဲ​တွင်။
aberrant	adj	ဖောက်​ပြန်​သော။ မူ​မမှန်​သော။
aberration	n	ဖောက်​ပြန်​မှု။
abet	v	(မကောင်း​မှု​ကျူး​လွန်​ရာ​၌) အား​ပေး​ကူ​ညီ​သည်။
abettor	n	(မကောင်း​မှု​ကျူး​လွန်​ရာ​၌) အား​ပေး​ကူ​ညီ​သူ။
abettors	n[pl]	အား​ပေး​ကူ​ညီ​သူ​များ
abeyance	n	ဆိုင်း​ငံ့​ထား​ခြင်း။ မကျင့်​သုံး​ခြင်း။ ဥ​ပေ​က္ခာ​ပြု​မှု။
abhor	v	စက်​ဆုပ်​သည်။ ရွံ​မုန်း​သည်။
abhorrence	n	ရွံ​ရှာ​ခြင်း။
abhorrent	adj	စက်​ဆုပ်(သော)။ ရွံ​ရှာ(သော)။
abide	v	သည်း​ခံ​သည်။ နေ​သည်။
abiding	adj	ခိုင်​မာ​သော။ စွဲ​မြ​သော။ မဖျောက်​ဖျက်​နိုင်​သော။
abilities	n[pl]	စွမ်း​ရည်​များ
ability	n	အစွမ်း၊ စွမ်း​ရည်။ စွမ်း​ပကား။ တတ်​နိုင်​စွမ်း။ တတ်​ကျွမ်း​မှု။ အရည်​အချင်း။
abject	adj	ဆိုး​ရွား​သော။ ကမ်း​ကုန်​သော။ တွင်း​ဆုံး​ကျ​သော။ ချွတ်​ခြုံ​ကျ​သော။ သိ​က္ခာ​မဲ့​သော။ အဖတ်​ဆယ်​မရ​အောင် (ဖြစ်​သော)။
abjectly	adv	လက်​မှိုင်​ချ​လျက်။
abjure	v	(ပိုင်​ခွင့်၊ ခံ​ယူ​ချက် စသည်) စွန့်​ပယ်​သည်။ စွန့်​သည်။ ငြင်း​ပယ်​သည်။
ablaze	adj	တောက်​လောင်(သော)။ ဟုန်း​ဟုန်း တောက်(သော)။ ထိန်​လင်း (သော)။ တောက်​ပ(သော)။ လျှမ်း(သော)။
able	adj	နိုင် (သော)။ ပိုင်​နိုင်​သော။ ကျွမ်း​ကျင်​သော။ တော်​သော။
able man	n	ကျွမ်း​ကျင်​ပညာ​ရှင်။ လို​အပ်​သော​အရည်​အသွေး ပြည့်​ဝသူ။
able seaman	n	(ရေ​တပ်) တပ်​သား​ကျော်။
able-bodied	adj	ကျန်း​မာ​သန်​စွမ်း​သော။
abler	adj[com]	ပို​၍​ကျွမ်း​ကျင်
ablest	adj[sup]	အကျွမ်း​ကျင်​ဆုံး
ablution	n	ကိုယ်​လက်​ဆေး​ကြော​ခြင်း။ ရေ​ကိုင်​ခြင်း။ ကိုယ်​လက်​သန့်​စင်​ခန်း (ဗြိ​တိ​သျှ​အသုံး)။
ably	adv	ပိုင်​နိုင်​စွာ။
abnegate	v	ပစ်​ပယ်​သည်။​စွန့်​လွှတ်​သည်။
abnegation	n	ဖယ်​ကြဉ်​ခြင်း။ စွန့်​ပယ် ခြင်း။
abnomal	adj	ပုံ​မှန်​မဟုတ်​သော။ မူ​မမှန်​သော။ ဖောက်​ပြန်​သော။
abnormality	n	ပုံ​မှန်​မဟုတ်​ခြင်း၊ မူ​မမှန်​ခြင်း။
abnormally	adv	ထူး​ထူး ကဲ​ကဲ။ အဆ​မတန်။
aboard	adv	(ယဉ်) ပေါ်​သို့။ ပေါ်​တွင်။ ပေါ်​၌။
abode	n	နေ​အိမ်။ အိမ်။ ဘုံ​ဗိ​မာန်။
abolish	v	ဖျက်​သိမ်း​သည်။ ရုပ်​သိမ်း​သည်။
abolished	v[pt]	ဖျက်​သိမ်း​ခဲ့
abolished	v[pp]	ဖျက်​သိမ်း​ခဲ့​ပြီး
abolishes	v[sg]	ဖျက်​သိမ်း
abolishing	v[ing]	ဖျက်​သိမ်း​နေ
abolition	n	ဖျက်​သိမ်း​ခြင်း။
abolitionist	n	ဖျက်​သိမ်း​ရေး​ဝါ​ဒီ။
abominable	adj	စက်​ဆုပ်​ဖွယ် (ကောင်း​သော)။ မသ​တီ​စရာ။ ဆိုး​ရွား​သော။ ချာ​သော။ ညံ့​သော။ စုတ်​ပဲ့​သော။
abominably	adv	မကောင်း တရောင်း။ ဖြစ်​ကတတ်​ဆန်း။ ဆိုး​ဆိုး​ရွား​ရွား။
abominate	v	စက်​ဆုပ်​ရွံ​ရှာ​သည်။
abomination	n	မျက်​စနောက်​စရာ။ (စိတ်)​မကောင်​စရာ။ အော့​နှ​လုံး နာ​စရာ။
aboriginal	n	ရှေး​တိုင်း​ရင်း။ ရှေး​တိုင်​ရင်း​သား​တို့​၏။ (​ဩ​စတြေး​လျ) ရှေး​လူ​မျိုး။
aborigine	n	(အထူ​သဖြင့် ဩ​စတြေး​လျ​တွင်) ကန​ဦး​နေ​ထိုင်​ခဲ့​သော လူ​မျိုး။ ရှေး​တီ​မဆွ တိုင်း​ရင်း​သား။ ရှေး​လူ​မျိုး။
abort	v	ကို​ဝန်​ဖျက်​သည်။ သား​လျှော​သည်။ ကို​ဝန်​ပျက်​သည်။ ဖျက်​သိမ်း​သည်။
aborted	v[pt]	ကိုယ်​ဝန်​ဖျက်​ခဲ့
aborted	v[pp]	ကိုယ်​ဝန်​ဖျက်​ခဲ့​ပြီး
aborting	v[ing]	ကိုယ်​ဝန်​ဖျက်​နေ
abortion	n	ကို​ဝန်​ဖျက်​မှု​လုပ်​ရပ်။ ကို​ဝန်​ဖျက်​မှု။ ကို​ဝန်​ဖျက်​ချ (ခြင်း)။
abortionist	n	(တရား​မဝင်) ကို​ဝန် ဖျက်​ချ​ပေး​သူ။
abortions	n[pl]	ကိုယ်​ဝန်​ဖျက်​ကျ​ခြင်း​များ
abortive	adj	မအောင်​မြင်​သော။
aborts	v[sg]	ကိုယ်​ဝန်​ဖျက်
abound	v	ပေါ​သည်။ လှိုင်​သည်။ ပြည့်​လျှံ​သည်။ ဆူ​ဝေ​သည်။ ပြည့်​နှက်​သည်။
about	adv	ခန့်။ လောက်။ သလောက်။ (သည်း​ခံ ဆို) နိုင်​ရုံ​တစ်​မည်။ ထို​ထို​ဤ​ဤ။ ဟို​ဟို​သည်​သည်။ ဟို​မှာ​သည်​မှာ။ မရေ​မရာ။ ဟို​လို​လို​သည်​လို​လို။ လတ်​လျား လတ်​လျား။ ဝန်း​ကျင်​တွင်။ အနီး​အနား​တွင်။ နေ​ရာ​အနှံ့​အပြား​တွင် (ဖြစ်​ပေါ​သည်၊ ပေါ်​ပေါက်​သည်)။ နောက်​ပြန်။ နောက်။ မူ​မှန်​မှ ဆန့်​ကျင်​လျက်။
about	prep	နှင့်​ပတ်​သက်​သော
